field_id,region,season,crop_type,soil_type,field_size_acres,planting_date,temperature_celsius,rainfall_mm,yield_per_acre,ph_level,irrigation_type,fertilizer_used,pest_control
F011,,Spring,Soybeans,Clay Loam,89.96585003272148,2023-05-15,24.058763954160394,1001.6265899355947,437.3872786005177,6.480039966772961,Sprinkler,238.7kg/ha,2.2L/ha
F012,Midwest,Summer,,,49.34801627861984,2023-07-06,34.88302009967896,544.6322031274657,52.695476265990294,7.341785386396701,Drip,148.2kg/ha,1.2L/ha
F013,Midwest,Spring,Soybeans,Silt Loam,97.3249039472679,2023-04-11,26.021995467196607,805.1639463687295,352.130867764296,7.482168140567609,Sprinkler,,0.8L/ha
F014,Midwest,Winter,,Silt Loam,157.25753268032346,2023-01-07,15.776471906083414,1195.626311188543,101.31512922667426,5.848210887201958,Sprinkler,142.9kg/ha,2.4L/ha
F015,,Winter,Soybeans,Clay Loam,47.313748340560366,2023-02-10,3.8137579286269663,827.5087546433944,114.24326490709731,6.546203666616487,None,109.1kg/ha,0.6L/ha
F016,Midwest,Fall,Corn,Silt Loam,55.26701764158669,2023-11-10,16.794218810755403,1121.42755683684,276.9767111140354,6.515361400034753,Sprinkler,153.7kg/ha,2.1L/ha
F017,Midwest,,Wheat,,64.86907221451513,2023-06-11,24.748804811639438,573.3835021766362,74.80076625684251,5.505075773986621,None,245.9kg/ha,
F018,South,,Cotton,Clay,34.54110373059603,2023-11-22,26.884861495494757,948.8375005139425,65.61078081441806,7.318048714649425,Drip,191.2kg/ha,2.4L/ha
F019,Midwest,Summer,Wheat,Silt Loam,65.30219143719086,2023-06-23,26.11023834410083,597.5475816967293,60.5218345228955,5.757353189153921,None,145.8kg/ha,2.3L/ha
F020,Midwest,Winter,Wheat,Silt Loam,92.83149396802223,2023-02-04,12.860471168211664,913.173776465211,88.00207242244542,5.691104425061275,Sprinkler,240.8kg/ha,1.6L/ha
F021,West,Fall,Wheat,,113.57574456879192,2023-11-02,26.625747041795908,652.3490496588867,111.28397408195471,6.448977866970141,Sprinkler,189.6kg/ha,0.9L/ha
,,,Wheat,Silt Loam,74.1427833015892,,20.490961686432925,693.6250063681655,330.08270418157014,7.077050003958504,Drip,185.3kg/ha,1.6L/ha
F023,West,Fall,Corn,Sandy Loam,68.3407446610361,2023-11-06,30.249218260415468,517.9216828841078,85.47505958577015,,Sprinkler,,0.9L/ha
F024,Northeast,,Soybeans,Clay Loam,38.74551374836436,2023-08-07,16.49125618413501,582.3774501801181,71.43840482346337,7.042028932855976,Drip,289.0kg/ha,0.7L/ha
,West,Winter,Wheat,Sandy Loam,145.32539391719723,2023-02-12,19.504434956769177,,44.404310066216766,6.231538636108083,Sprinkler,226.5kg/ha,0.9L/ha
F026,Northeast,Spring,Soybeans,Silt Loam,56.286405011484305,2023-03-15,14.218461794341936,,166.22645079094042,7.130469387016012,Sprinkler,136.0kg/ha,2.0L/ha
,Northeast,Fall,Corn,Silt Loam,59.757269691178536,2023-11-04,12.484359856890272,1053.8642796166241,228.1585693032567,5.974207158891822,Drip,280.2kg/ha,1.6L/ha
F028,,Fall,Corn,Clay Loam,117.58978252299339,2023-10-26,17.32389305026591,551.8545716663971,260.0257383557605,5.795988608920709,Sprinkler,215.4kg/ha,1.6L/ha
F029,South,Spring,Corn,Sandy Loam,65.72621556406615,2023-03-19,24.613202679766975,862.1925121446444,108.13839616413428,7.40944024475629,Sprinkler,257.3kg/ha,1.1L/ha
F030,West,Fall,Corn,Sandy Loam,,2023-11-09,25.4183372097908,356.07399143121427,122.21708479303501,5.837398603116926,Drip,182.8kg/ha,2.1L/ha
F031,West,Spring,Corn,Sandy Loam,135.8716881940805,2023-04-04,20.122897814907812,354.0178175635542,,,Sprinkler,225.4kg/ha,2.0L/ha
F032,South,Spring,Soybeans,Clay,35.703538250531324,2023-03-07,,,124.83525175135628,7.737827564284564,Drip,180.8kg/ha,1.3L/ha
F033,South,,Cotton,Sandy Loam,44.31357788131963,2023-05-08,22.75355552567026,1589.5208655370132,147.33172808478912,6.50240185892142,Drip,116.1kg/ha,0.7L/ha
F034,South,,Corn,Sandy Loam,71.32348970887014,2023-12-20,12.496670576127748,838.9000887424273,37.92996380964456,6.010862186863406,Drip,287.4kg/ha,2.0L/ha
F035,Northeast,Spring,Corn,Clay Loam,52.72684133592415,2023-04-23,14.23262253562988,,184.4188926099945,7.406113736865112,None,108.5kg/ha,0.9L/ha
F036,Northeast,Summer,Soybeans,Clay Loam,,2023-07-18,28.999828151981855,940.5678348619755,37.6825970306695,6.667311578264709,Drip,109.5kg/ha,2.4L/ha
F037,Northeast,Winter,,Clay Loam,,2023-12-06,-2.152365724293676,901.2348213825722,104.04098532170417,7.096226059234415,Sprinkler,169.1kg/ha,1.6L/ha
F038,,Summer,Corn,Sandy Loam,114.75412699650701,2023-06-19,30.56504935296055,438.5277328026845,42.543484593424296,5.8375725213164555,Sprinkler,252.7kg/ha,1.4L/ha
F039,Northeast,Winter,Soybeans,,53.83284793173699,2023-01-22,0.9920864688262873,924.9857269279966,79.75489246895859,5.662853807574354,,,1.8L/ha
F040,South,,,Clay,45.313011701064426,2023-05-02,27.063369872855823,1392.6488183872798,136.87470855854687,7.598457016518981,None,156.8kg/ha,1.8L/ha
F041,South,Winter,Cotton,Sandy Loam,38.55987907216032,2023-02-10,11.592726475493413,1093.2259085337234,28.656537309432398,6.97273034071982,Drip,225.8kg/ha,0.9L/ha
F042,West,Spring,Wheat,Sandy Loam,,2023-05-17,26.160926689679343,760.2141940948451,177.27091097103468,5.560655154806191,Drip,275.4kg/ha,1.1L/ha
F043,South,Spring,,Sandy Loam,75.29039084993235,2023-03-09,19.593611234561045,,109.7790693025136,6.494499049263908,,275.3kg/ha,1.2L/ha
F044,Northeast,Fall,Soybeans,Clay Loam,46.09667557222575,2023-10-21,22.432260363650286,855.8816842192269,230.66496987559273,,Sprinkler,276.9kg/ha,0.6L/ha
F045,Northeast,Summer,,Clay Loam,24.087813519526847,,,532.0773682077072,,5.81693024488464,None,198.0kg/ha,0.9L/ha
F046,Midwest,,Wheat,Clay Loam,150.81165983770586,2023-03-08,23.143005988266783,,432.6247910830628,5.590582780161574,Sprinkler,234.2kg/ha,
F047,West,Spring,Wheat,,187.016402891007,2023-03-21,27.032021993208094,498.34202223714124,128.32198968565882,6.978106949147272,Sprinkler,135.0kg/ha,1.7L/ha
F048,West,Fall,Wheat,Sandy Loam,190.7491618282424,2023-10-17,30.686880886918424,444.75405038352625,,6.725243266460073,Sprinkler,262.3kg/ha,1.8L/ha
F049,Midwest,Winter,Corn,Clay Loam,80.4656771362199,2023-12-06,14.799105321746922,774.2145275203153,105.1789206693662,6.569626585923238,Sprinkler,296.5kg/ha,1.1L/ha
F050,Northeast,Summer,Corn,Clay Loam,49.389810726005855,2023-07-15,31.673946051374834,700.5335948004309,80.15759531554065,7.208275573667258,Drip,,1.6L/ha
F051,,Winter,Cotton,Sandy Loam,94.65739230240614,2023-01-26,16.699963123446505,1042.1042714157109,24.974878555724587,6.702965872130234,Drip,232.3kg/ha,1.5L/ha
F052,Northeast,Summer,Soybeans,Clay Loam,23.796252121125757,2023-08-02,22.510990211970466,,66.71747990637414,7.040886260706224,Sprinkler,267.1kg/ha,2.4L/ha
F053,West,Spring,Wheat,Sandy Loam,61.63562703098708,2023-04-01,,622.040612146764,97.89886785083824,,Drip,187.9kg/ha,0.7L/ha
F054,West,Winter,Corn,Sandy Loam,146.4603862153042,,9.580152599470386,672.0688184775668,33.228552629509196,6.386871571450401,Sprinkler,238.4kg/ha,0.7L/ha
F055,,Spring,Soybeans,Silt Loam,109.98126628396554,2023-03-27,23.9994104831688,899.9462034105953,,6.560983126161737,Sprinkler,277.5kg/ha,1.1L/ha
F056,Northeast,Summer,Soybeans,Silt Loam,39.089621084214485,2023-06-27,26.110860431724877,545.068406009746,42.776356611222944,,Sprinkler,110.0kg/ha,0.7L/ha
F057,Northeast,Summer,Corn,Silt Loam,,2023-08-08,28.881136625510578,715.4076619461118,49.52541076822315,6.919396017396666,Sprinkler,225.6kg/ha,
F058,South,Summer,Soybeans,Sandy Loam,104.04121655069913,2023-07-25,38.61480840842136,966.8979454485766,,5.937527338262916,Sprinkler,175.3kg/ha,2.3L/ha
F059,South,Fall,Soybeans,Clay,35.538726728866614,2023-09-19,20.863257689870586,1342.0063534165165,88.13539746833032,6.052440865206405,Drip,255.6kg/ha,1.2L/ha
F060,Northeast,Summer,Corn,Silt Loam,39.68412996480701,2023-07-16,13.983206460057609,673.2134614694857,54.048282760806,,Sprinkler,268.8kg/ha,2.4L/ha
F061,Northeast,Fall,Soybeans,Silt Loam,66.16519955797487,2023-09-25,14.428326095029986,1099.507112082698,159.6593546630774,,Drip,226.5kg/ha,1.8L/ha
F062,South,Winter,,Sandy Loam,,2023-02-03,25.43563379688573,1154.3130578214239,24.83705815047074,5.774727566600537,Sprinkler,179.1kg/ha,2.4L/ha
F063,Northeast,Winter,Soybeans,Clay Loam,59.676947425060064,2023-12-18,12.175439918213414,1062.121913182721,111.83031201818383,6.7073108193192255,Drip,258.9kg/ha,1.3L/ha
F064,West,Spring,Corn,Sandy Loam,102.78117896469385,2023-05-12,28.184316831591808,467.0656605181691,82.1371730318532,6.749633965368112,Sprinkler,202.9kg/ha,0.8L/ha
F065,Northeast,Fall,Soybeans,Silt Loam,77.29394310106676,2023-10-09,11.831335937170131,855.1514503619641,313.4160847855168,5.651359784941278,Drip,214.4kg/ha,0.7L/ha
,Midwest,Winter,Wheat,Silt Loam,88.8578697486416,2023-01-19,19.262536231489843,945.9512950483202,,6.53229831094549,,174.6kg/ha,
F067,South,Summer,,Clay,53.09516579449244,2023-06-07,31.07669842051774,627.1612769203933,13.521437594767026,7.12114965473492,Sprinkler,167.9kg/ha,2.4L/ha
F068,Midwest,Winter,Soybeans,Clay Loam,88.46148550201289,2023-12-08,3.669356095191712,677.2350753248771,117.80545329625348,5.864211909907802,Sprinkler,292.1kg/ha,2.0L/ha
F069,West,Summer,Corn,Loamy Sand,,2023-06-25,24.73582962075709,517.1822603404145,21.83593336146192,5.6073665636899666,Drip,163.9kg/ha,2.1L/ha
F070,South,Spring,Corn,Clay,59.54411444362334,2023-03-20,22.567728794979747,1123.814968918047,131.98238228070056,,Sprinkler,209.3kg/ha,2.0L/ha
F071,Midwest,Spring,Wheat,Clay Loam,111.96181438141349,2023-04-16,,657.9967667306163,346.9974156775507,6.131784056048376,Sprinkler,174.3kg/ha,2.2L/ha
F072,West,Fall,Corn,Sandy Loam,,2023-10-12,21.475942197013595,369.97995829286737,68.40694234772089,6.915140173061651,Sprinkler,177.7kg/ha,1.2L/ha
F073,Midwest,Summer,Wheat,,79.43673450247901,2023-08-19,26.194120739270495,493.9966577728698,,5.691628788666681,None,117.6kg/ha,0.8L/ha
F074,Northeast,Winter,Soybeans,Silt Loam,34.34582761713487,2023-02-06,9.200869608768825,992.0922297346444,102.9547012359929,6.32026037109509,Drip,152.2kg/ha,1.5L/ha
F075,Midwest,Spring,,Clay Loam,95.25243649450556,2023-05-26,20.558048824118185,644.7116471945386,443.91416339878754,6.951916152799864,Sprinkler,251.5kg/ha,0.8L/ha
F076,West,Winter,Corn,Sandy Loam,159.68213591384128,,21.209034611911047,721.2520827403562,43.11239871101256,5.63139127838713,Sprinkler,110.3kg/ha,1.8L/ha
,West,Winter,,Sandy Loam,95.64402212989549,2023-02-11,13.45885235188992,487.60755889626444,24.195420423389443,5.530909454215467,Sprinkler,243.9kg/ha,1.3L/ha
F078,West,Winter,Wheat,,112.67555436192852,2023-01-14,16.307988569946943,761.6866797886844,70.08936444402785,7.397264123887888,Sprinkler,135.2kg/ha,0.7L/ha
F079,Midwest,Winter,Corn,Silt Loam,,2023-01-27,16.970627441718463,1141.2119872833732,83.9868980431424,6.756133322889303,None,108.5kg/ha,1.3L/ha
F080,Midwest,Spring,Wheat,Silt Loam,45.86240841175902,2023-04-15,,,416.5519284580755,7.2176795729480805,Sprinkler,298.9kg/ha,1.8L/ha
F081,South,Fall,Soybeans,Clay,103.31811961640645,2023-10-22,30.085482239505165,1151.0165318998897,87.21011772840991,6.14817807674997,Sprinkler,158.8kg/ha,2.3L/ha
F082,Northeast,Spring,Corn,Clay Loam,,2023-04-21,23.028594403909022,,325.47507584508236,6.982619495479982,Drip,180.4kg/ha,1.8L/ha
,West,Fall,Corn,Loamy Sand,192.96364477819964,2023-11-16,22.116211145983076,,84.12708745976757,5.710703331322915,Sprinkler,268.0kg/ha,2.3L/ha
,Northeast,Spring,Soybeans,Silt Loam,55.68601385559076,2023-03-24,11.252058819003917,795.5561946117741,192.67253517907295,5.713190570452189,,140.3kg/ha,
F085,South,Spring,Cotton,Clay,,2023-04-21,23.81995197075635,943.0173881812426,143.87016839425385,6.319191185444487,Drip,134.3kg/ha,1.7L/ha
F086,West,Spring,Wheat,Sandy Loam,75.76387604434612,2023-04-23,23.766200222186022,631.9747542700129,221.23895090115985,5.8416810509795205,Drip,165.9kg/ha,2.0L/ha
F087,South,Summer,Soybeans,Clay,45.01872103058463,2023-08-16,30.915846977738244,681.5884186521951,23.202936394076602,7.410164481196256,Drip,121.9kg/ha,2.4L/ha
F088,,Winter,Cotton,,114.10978055955898,2023-01-16,9.939389227383105,1263.04473431732,33.15838233327329,7.412942938095953,Sprinkler,178.4kg/ha,0.7L/ha
F089,West,,Corn,Sandy Loam,,2023-09-16,22.83855551277151,590.8049338201276,,6.628055611615847,Sprinkler,178.6kg/ha,0.7L/ha
F090,Northeast,,Corn,Clay Loam,29.773978965651107,2023-12-10,4.644091319640996,929.3856868613698,111.4028389216835,6.084001335861968,Sprinkler,249.1kg/ha,0.7L/ha
F091,South,Spring,Soybeans,Sandy Loam,76.38459775848214,2023-05-07,24.29038530075147,1082.9904495036783,76.39048188332272,6.35552023706928,Sprinkler,200.6kg/ha,1.2L/ha
F092,South,,Soybeans,Sandy Loam,34.010639651752136,,26.522275172666074,983.9004248822919,14.614048661173609,6.082480683701583,Drip,182.9kg/ha,2.2L/ha
F093,Northeast,Winter,Corn,Clay Loam,73.51208513796021,,3.4326466849220085,,88.14500215357646,6.802005189038081,Drip,256.3kg/ha,2.2L/ha
F094,Midwest,Spring,Corn,Clay Loam,100.80424290338348,2023-04-09,17.1014025553938,808.496754247059,298.8458119853868,7.018000480516886,Sprinkler,258.8kg/ha,2.1L/ha
F095,,Fall,Wheat,Clay Loam,150.22138614524027,2023-09-10,20.788061674325043,759.3273107656346,337.55163474776003,6.250386885335865,Sprinkler,278.4kg/ha,2.5L/ha
F096,Northeast,Fall,Corn,Clay Loam,63.17776238708335,2023-10-11,15.496924831205394,1066.5790806137272,184.65676779462007,7.298405628142316,None,244.5kg/ha,1.9L/ha
F097,Northeast,,,Clay Loam,41.416651287133305,2023-03-03,17.558910468467918,1185.336896594116,267.979872529995,6.228478694615887,Sprinkler,238.7kg/ha,2.3L/ha
F098,,Spring,Soybeans,Silt Loam,44.32273859951614,2023-05-17,22.851939185903028,922.253066170776,,6.9610665388940705,Sprinkler,186.7kg/ha,2.0L/ha
F099,Midwest,Winter,Wheat,Clay Loam,89.06548527308253,2023-12-26,11.416619015677155,894.8459142863885,114.39857194290964,6.331818048566743,Sprinkler,135.7kg/ha,2.0L/ha
F100,Northeast,Summer,Corn,Silt Loam,54.90051757337847,2023-08-24,25.520553092931916,678.6096889285146,,,Sprinkler,276.8kg/ha,2.2L/ha
,Midwest,Spring,Wheat,Clay Loam,142.13663862630864,2023-03-21,22.07488028276021,980.9057725094526,328.86127765113196,5.681453142146767,Sprinkler,136.7kg/ha,1.3L/ha
F102,South,Winter,Cotton,Sandy Loam,68.59303704287291,2023-02-05,14.022848728832347,956.2965643117118,32.297603384751234,5.585338417373606,Drip,142.0kg/ha,
F103,South,Spring,Corn,Clay,110.63603922366545,2023-03-12,,1089.911440853667,95.93597376815293,6.286441174058587,Sprinkler,206.9kg/ha,1.2L/ha
F104,Midwest,Fall,,Clay Loam,131.6960063725379,2023-09-12,19.78562034045802,758.1323174756585,,6.569209119756492,Sprinkler,283.2kg/ha,1.5L/ha
F105,Northeast,Spring,Soybeans,Silt Loam,27.795462104011357,2023-03-13,21.805871075875995,1253.6424514115893,,6.159727095440824,Drip,,1.6L/ha
,South,Winter,Cotton,Clay,92.086015103281,2023-02-24,17.302934918101812,966.6717189436898,24.36113657895989,7.622292515634993,None,129.9kg/ha,2.0L/ha
F107,,Fall,Soybeans,Clay,101.59381852409054,2023-10-18,31.742394583842863,707.8803677334165,67.7237936442637,6.24518917619551,Sprinkler,198.2kg/ha,1.7L/ha
F108,Midwest,Summer,Corn,Clay Loam,115.49442331902026,2023-08-20,29.699416017731977,807.2607556326642,60.75399325647902,7.439529120241804,Sprinkler,,1.1L/ha
F109,South,Winter,Soybeans,Sandy Loam,112.69077719423937,2023-02-08,20.969562071213204,851.4474445002559,28.948461256648166,5.664727272641283,Sprinkler,193.3kg/ha,1.2L/ha
F110,West,Spring,Corn,Loamy Sand,,2023-05-20,28.77391955476175,669.3053520476934,,6.702039176329608,None,250.5kg/ha,0.9L/ha
F111,Northeast,Summer,Soybeans,Silt Loam,,2023-08-15,15.991573115160419,,37.32616764885877,7.448897220933403,Sprinkler,168.5kg/ha,0.8L/ha
F112,West,Winter,Wheat,Sandy Loam,116.45911036882964,2023-12-12,23.089571269680743,622.6581927577705,37.417094816410476,6.0760783003541565,Sprinkler,,2.4L/ha
F113,Midwest,Spring,Wheat,Silt Loam,,2023-03-13,25.23089976109161,654.9008598700028,334.0644979177491,6.544096363415441,Sprinkler,100.6kg/ha,2.0L/ha
,Midwest,Fall,Corn,Silt Loam,,,19.385753363860015,1006.8806500209108,215.85450519468898,7.022799988960821,Sprinkler,294.4kg/ha,2.1L/ha
F115,South,Spring,Corn,Clay,105.23252233761427,,28.780447649165918,916.9139780845144,110.53452248052399,7.503601970464613,Sprinkler,179.2kg/ha,1.8L/ha
F116,Midwest,Spring,Wheat,,80.90873600615306,2023-04-12,23.28277488035082,779.1817081518429,316.41735120481735,6.150885558320519,Drip,276.7kg/ha,0.7L/ha
F117,Northeast,Winter,Corn,Silt Loam,59.84433544180294,2023-01-02,2.92678632427496,974.965696516055,60.90169549745809,5.69074625449033,None,262.6kg/ha,2.3L/ha
F118,Northeast,Spring,Soybeans,Silt Loam,29.13555418915588,,21.66098035001107,1025.2137410587386,328.8073552119123,,Drip,157.6kg/ha,0.9L/ha
F119,Midwest,Fall,Soybeans,Silt Loam,134.68628474119498,2023-11-17,27.982260147964865,712.4992533998382,299.4985680716693,7.206553667202174,Sprinkler,121.4kg/ha,
F120,West,Spring,Wheat,Loamy Sand,154.31381815423796,2023-05-23,23.677533174428927,,172.28156694448293,6.860135962192505,Sprinkler,137.4kg/ha,1.3L/ha
F121,South,Fall,Soybeans,Sandy Loam,51.98015098003095,2023-09-14,34.12114926382694,1021.4563945917125,81.41910321600191,7.257992833484307,Drip,196.6kg/ha,2.3L/ha
F122,Northeast,Winter,Corn,Silt Loam,43.51646445647947,2023-02-12,0.7832934637097528,860.2102279770272,136.46258540857386,6.223328417585653,Drip,201.0kg/ha,
F123,Northeast,Summer,Soybeans,Clay Loam,51.60695108693396,,20.619481126128335,662.2670517662345,37.665482318510165,7.308858206426394,Drip,105.2kg/ha,2.2L/ha
F124,South,Winter,Corn,Sandy Loam,45.68943633036761,2023-01-09,23.69630492779823,1273.4610888855716,27.058558780779386,6.752285695966297,Drip,188.0kg/ha,2.5L/ha
F125,Midwest,Winter,Soybeans,Silt Loam,135.55574260308288,2023-02-23,19.42487910219141,629.3633600133293,105.23049722823203,6.579801018849215,Sprinkler,153.9kg/ha,
F126,South,Spring,,Clay,52.16101460296987,2023-05-02,23.49278967456438,829.2647198969291,82.81882505780395,7.720065589238063,,137.2kg/ha,1.1L/ha
F127,Midwest,Fall,Corn,Silt Loam,61.808312732437635,2023-09-26,21.005322012710646,740.7469130502499,276.30243330664945,7.205242827496043,None,127.5kg/ha,
F128,South,Fall,,,36.727519819182525,2023-10-22,33.98920798812331,986.7394394138927,72.29202460129038,6.951446389171451,Sprinkler,265.9kg/ha,1.2L/ha
,Northeast,Spring,Soybeans,Silt Loam,,2023-03-02,,898.1937782556291,452.21983180191205,5.599317936720643,Sprinkler,161.6kg/ha,1.3L/ha
F130,West,Fall,Corn,Sandy Loam,73.45510467682826,2023-10-24,26.625764296666034,337.32196813726944,130.42678614958794,7.154173734902216,None,171.4kg/ha,2.4L/ha
F131,South,Spring,Soybeans,Clay,103.90223792455562,2023-03-24,29.58272633092578,1239.5076254597518,96.90680696024201,7.4953344282206675,Sprinkler,157.5kg/ha,1.8L/ha
F132,Northeast,Summer,Corn,Silt Loam,26.61037186512284,2023-08-23,22.189267924276713,,32.13052117626601,6.346051238777995,Sprinkler,122.8kg/ha,1.8L/ha
F133,Northeast,Winter,Corn,Clay Loam,64.39011205442606,,7.745732491159515,1313.7987273904766,114.71622015912354,6.018224374093688,Sprinkler,181.7kg/ha,1.8L/ha
F134,Midwest,Winter,,Clay Loam,76.02117555057822,2023-02-18,,881.3635440219102,90.9077737719412,,None,,2.0L/ha
F135,West,Spring,,Sandy Loam,112.2188103249958,2023-05-16,18.90448294516653,477.8083315267165,112.94867011610341,6.344075676872741,Sprinkler,291.2kg/ha,1.1L/ha
F136,Midwest,Winter,Wheat,Silt Loam,144.19206818650332,2023-01-15,12.700402227520339,825.5115882544485,132.41408533915182,6.519317167893589,Sprinkler,,1.3L/ha
F137,South,Summer,Soybeans,Clay,,2023-06-16,32.41914661644922,997.174999773218,,6.5554868554415595,Sprinkler,273.4kg/ha,0.6L/ha
F138,Northeast,Summer,Corn,Clay Loam,63.623404940338226,2023-07-01,27.193122409132986,960.0639187928876,,5.53280864104158,Sprinkler,219.2kg/ha,0.6L/ha
F139,South,Winter,Cotton,Clay,83.98439327746249,2023-01-27,11.492600442203107,963.0523739764044,31.320761821769743,6.58184123539215,Sprinkler,287.9kg/ha,0.7L/ha
F140,Midwest,Winter,Corn,Clay Loam,75.42945585823372,2023-12-12,13.457763440144765,742.4237725776361,,5.923634910882081,None,,1.6L/ha
F141,West,Winter,Corn,Loamy Sand,150.26642490509715,2023-01-10,10.048273791377282,852.55016506241,50.95716566328362,5.673898913130518,Sprinkler,141.5kg/ha,2.0L/ha
F142,Midwest,Spring,Soybeans,Silt Loam,,2023-04-22,32.90514443228241,901.5412493040747,378.1360922093439,5.896052417964224,Sprinkler,288.0kg/ha,0.9L/ha
F143,Midwest,Winter,,Silt Loam,133.30301594720834,2023-01-01,9.970140584882131,,98.03260705965215,6.8535420651678605,Sprinkler,283.3kg/ha,1.8L/ha
F144,West,Summer,Wheat,,126.11498009312217,2023-06-12,26.383574793044296,324.5953585116607,21.334489104422648,7.325751232071122,Sprinkler,136.7kg/ha,2.0L/ha
F145,South,Summer,Corn,Clay,108.17317536401431,2023-06-15,38.826884239712,682.1602022354772,23.482482020672833,,Sprinkler,106.2kg/ha,0.9L/ha
F146,Northeast,,Corn,Silt Loam,65.55095453494995,2023-12-01,3.9642114959457455,941.0141086991948,106.30458610598065,6.872718637397107,,154.0kg/ha,1.0L/ha
F147,South,,Soybeans,Sandy Loam,51.72083950695546,2023-07-15,34.24297248139331,866.2364146412345,,6.199188088409013,Drip,209.5kg/ha,1.9L/ha
F148,West,,Wheat,Loamy Sand,,2023-04-10,26.18345935453931,773.1670403243237,95.90952413034262,6.779099861645452,Sprinkler,244.6kg/ha,1.7L/ha
,,Spring,Corn,Silt Loam,46.61761465586581,2023-04-04,16.937658722372834,1399.4245351263205,362.8927260840099,6.560581916304819,,153.9kg/ha,0.9L/ha
F150,Midwest,Spring,Wheat,,,2023-03-16,29.17713702348316,916.3108172286584,369.013853431015,5.612840151529573,None,145.3kg/ha,2.3L/ha
F151,South,Fall,Corn,Sandy Loam,,,28.138748832973132,1059.6455313426122,54.99135180119981,6.51885964390353,Drip,124.5kg/ha,1.0L/ha
F152,West,,Wheat,Sandy Loam,52.97940870708902,2023-04-04,26.64264671361492,867.924174607536,219.6845256914656,5.594339494278517,Sprinkler,180.3kg/ha,2.0L/ha
F153,Midwest,Summer,,Silt Loam,148.07679361542995,2023-07-07,19.000092098107704,549.7763267558355,52.423888549241276,6.457146293300277,Sprinkler,167.7kg/ha,1.5L/ha
,West,Spring,Wheat,Sandy Loam,85.46657124272835,2023-04-24,26.620068034485463,478.3580276196127,180.95885189562352,7.207944928485278,,290.1kg/ha,0.6L/ha
F155,South,Winter,,Clay,74.79452396628315,2023-01-08,24.128460804755882,1112.1698606270643,27.898635811780803,7.286947032761361,Sprinkler,163.3kg/ha,0.5L/ha
F156,South,Summer,Cotton,Clay,91.124842921422,2023-06-14,34.098594585522775,790.4678639170618,,6.593375298606315,Sprinkler,257.7kg/ha,1.8L/ha
,South,Winter,Soybeans,Clay,106.68233056451125,2023-02-05,14.39289662454269,907.0677167440064,32.18487301828704,6.507163104214612,Sprinkler,226.5kg/ha,1.1L/ha
F158,West,Spring,Corn,Loamy Sand,142.3802186530553,2023-03-19,34.471394989922366,546.6850809701604,187.67986458877013,5.99227458985534,Sprinkler,264.4kg/ha,1.7L/ha
F159,,Fall,Wheat,Sandy Loam,120.09487542217047,2023-11-23,28.07044441168672,344.83153088350235,125.90596477354278,6.558533107639954,Sprinkler,,0.6L/ha
F160,South,Spring,Soybeans,Clay,33.830767604788214,2023-04-21,25.32053254157176,1311.4544180509681,80.04924706995162,7.401692596948071,Sprinkler,218.6kg/ha,0.8L/ha
,Northeast,Winter,Corn,Silt Loam,27.03891813525808,2023-12-15,7.8504754738188325,1283.1733966368888,56.51689091356807,6.455068091734832,Sprinkler,136.6kg/ha,0.7L/ha
